# ao_strehl_timeline predicted Strehl vs time
# night=2026-07-06 telescope=K2 tomography=off target=on wavelength=K-band (2200 nm)
# budget=refined-2026-07 tt_star=R15.2@19.3arcsec lgs_offset=0arcsec ngs_offset=0arcsec ltao_bw_factor=1.443(floor_frac=0.7) ltao_tt_theta0_gain=1 ngs_seeing_law=kolmogorov(anchor_sK=0.3) assumed_theta0=15arcsec(K,zenith)
# merged timeline, two row types by source= column:
#   source=dimm : one row per DIMM sample -- dimm seeing, r0, NGS Strehl (MASS-derived cols blank)
#   source=mass : one row per MASS profile -- mass seeing, LGS/LTAO Strehl, theta0, d0, plus the matched DIMM total seeing used as input (NGS cols blank)
# Strehl columns + theta0 are at the science wavelength; seeing columns are 500nm LINE-OF-SIGHT (zenith x airmass^(3/5)); r0 is 500nm at ZENITH; d0 is wavelength-independent (m)
# err_*_nm columns: per-sample error-budget terms in nm RMS on mass rows (line-of-sight-projected inputs). err_focal_single is the single-beacon focal-aniso (cone) term; err_alt_ltao is tomography + quadratic layer-mismatch. Fixed terms not tabulated: HO measurement 63.3, Na focus 42, static 109.2 (=K2: tel-aberr 50.0 + WFS-calib 57.9 + DM 33.6 + AO/instr 67.1 + registration 21.2, quad), margin 130 nm.
source,utc_iso,hst_iso,dimm_seeing_arcsec_los,mass_seeing_arcsec_los,zenith_factor,airmass,r0_cm_500nm,ngs_R8.2_strehl,ngs_R12_strehl,single_lgs_strehl,ltao_strehl,theta0_arcsec,d0_m,layer_mismatch,ngs_theta0_arcsec,err_fit_nm,err_scint_nm,err_ang_nm,err_bw_single_nm,err_bw_ltao_nm,err_focal_single_nm,err_alt_ltao_nm,err_tt_nm
dimm,2026-07-07T08:36:57,2026-07-06T22:36:57,0.8800,,1.0000,1.0000,11.49,0.5691,0.4139,,,,,,,,,,,,,,
dimm,2026-07-07T08:38:30,2026-07-06T22:38:30,0.8200,,1.0000,1.0000,12.33,0.5848,0.4252,,,,,,,,,,,,,,
dimm,2026-07-07T08:40:02,2026-07-06T22:40:02,0.8000,,1.0000,1.0000,12.63,0.5899,0.4290,,,,,,,,,,,,,,
dimm,2026-07-07T08:41:36,2026-07-06T22:41:36,0.7500,,1.0000,1.0000,13.48,0.6025,0.4382,,,,,,,,,,,,,,
dimm,2026-07-07T08:43:10,2026-07-06T22:43:10,0.7700,,1.0000,1.0000,13.13,0.5975,0.4345,,,,,,,,,,,,,,
dimm,2026-07-07T08:44:43,2026-07-06T22:44:43,0.7000,,1.0000,1.0000,14.44,0.6149,0.4471,,,,,,,,,,,,,,
dimm,2026-07-07T08:46:21,2026-07-06T22:46:21,0.6300,,1.0000,1.0000,16.04,0.6316,0.4593,,,,,,,,,,,,,,
dimm,2026-07-07T08:47:55,2026-07-06T22:47:55,0.7600,,1.0000,1.0000,13.30,0.6000,0.4363,,,,,,,,,,,,,,
dimm,2026-07-07T08:49:36,2026-07-06T22:49:36,0.8200,,1.0000,1.0000,12.33,0.5848,0.4252,,,,,,,,,,,,,,
dimm,2026-07-07T08:51:11,2026-07-06T22:51:11,0.7300,,1.0000,1.0000,13.85,0.6075,0.4418,,,,,,,,,,,,,,
dimm,2026-07-07T08:52:52,2026-07-06T22:52:52,0.6600,,1.0000,1.0000,15.31,0.6245,0.4542,,,,,,,,,,,,,,
dimm,2026-07-07T08:54:29,2026-07-06T22:54:29,0.7200,,1.0000,1.0000,14.04,0.6100,0.4436,,,,,,,,,,,,,,
dimm,2026-07-07T08:56:06,2026-07-06T22:56:06,0.6700,,1.0000,1.0000,15.09,0.6221,0.4524,,,,,,,,,,,,,,
dimm,2026-07-07T08:57:41,2026-07-06T22:57:41,0.7700,,1.0000,1.0000,13.13,0.5975,0.4345,,,,,,,,,,,,,,
dimm,2026-07-07T08:59:20,2026-07-06T22:59:20,0.7500,,1.0000,1.0000,13.48,0.6025,0.4382,,,,,,,,,,,,,,
dimm,2026-07-07T09:01:00,2026-07-06T23:01:00,0.6400,,1.0000,1.0000,15.79,0.6293,0.4576,,,,,,,,,,,,,,
dimm,2026-07-07T09:02:40,2026-07-06T23:02:40,0.6500,,1.0000,1.0000,15.55,0.6269,0.4559,,,,,,,,,,,,,,
dimm,2026-07-07T09:04:20,2026-07-06T23:04:20,0.6900,,1.0000,1.0000,14.65,0.6173,0.4489,,,,,,,,,,,,,,
dimm,2026-07-07T09:05:59,2026-07-06T23:05:59,0.6400,,1.0000,1.0000,15.79,0.6293,0.4576,,,,,,,,,,,,,,
dimm,2026-07-07T09:07:40,2026-07-06T23:07:40,0.7100,,1.0000,1.0000,14.24,0.6124,0.4454,,,,,,,,,,,,,,
dimm,2026-07-07T09:09:19,2026-07-06T23:09:19,0.6500,,1.0000,1.0000,15.55,0.6269,0.4559,,,,,,,,,,,,,,
dimm,2026-07-07T09:11:02,2026-07-06T23:11:02,0.6300,,1.0000,1.0000,16.04,0.6316,0.4593,,,,,,,,,,,,,,
dimm,2026-07-07T09:12:43,2026-07-06T23:12:43,0.5700,,1.0000,1.0000,17.73,0.6453,0.4693,,,,,,,,,,,,,,
dimm,2026-07-07T09:14:27,2026-07-06T23:14:27,0.6500,,1.0000,1.0000,15.55,0.6269,0.4559,,,,,,,,,,,,,,
dimm,2026-07-07T09:16:08,2026-07-06T23:16:08,0.6700,,1.0000,1.0000,15.09,0.6221,0.4524,,,,,,,,,,,,,,
dimm,2026-07-07T09:17:53,2026-07-06T23:17:53,0.6800,,1.0000,1.0000,14.86,0.6197,0.4507,,,,,,,,,,,,,,
dimm,2026-07-07T09:19:37,2026-07-06T23:19:37,0.7900,,1.0000,1.0000,12.79,0.5924,0.4308,,,,,,,,,,,,,,
dimm,2026-07-07T09:21:22,2026-07-06T23:21:22,0.7100,,1.0000,1.0000,14.24,0.6124,0.4454,,,,,,,,,,,,,,
dimm,2026-07-07T09:23:07,2026-07-06T23:23:07,0.8100,,1.0000,1.0000,12.48,0.5873,0.4271,,,,,,,,,,,,,,
dimm,2026-07-07T09:24:52,2026-07-06T23:24:52,0.7900,,1.0000,1.0000,12.79,0.5924,0.4308,,,,,,,,,,,,,,
dimm,2026-07-07T09:26:38,2026-07-06T23:26:38,0.8000,,1.0000,1.0000,12.63,0.5899,0.4290,,,,,,,,,,,,,,
dimm,2026-07-07T09:28:22,2026-07-06T23:28:22,0.6300,,1.0000,1.0000,16.04,0.6316,0.4593,,,,,,,,,,,,,,
dimm,2026-07-07T09:30:10,2026-07-06T23:30:10,0.9100,,1.0000,1.0000,11.11,0.5612,0.4081,,,,,,,,,,,,,,
dimm,2026-07-07T09:31:59,2026-07-06T23:31:59,0.6000,,1.0000,1.0000,16.84,0.6385,0.4643,,,,,,,,,,,,,,
dimm,2026-07-07T09:33:47,2026-07-06T23:33:47,0.5800,,1.0000,1.0000,17.43,0.6431,0.4676,,,,,,,,,,,,,,
dimm,2026-07-07T09:35:35,2026-07-06T23:35:35,0.8300,,1.0000,1.0000,12.18,0.5822,0.4234,,,,,,,,,,,,,,
dimm,2026-07-07T09:37:23,2026-07-06T23:37:23,0.8600,,1.0000,1.0000,11.75,0.5744,0.4177,,,,,,,,,,,,,,
dimm,2026-07-07T09:39:13,2026-07-06T23:39:13,0.8000,,1.0000,1.0000,12.63,0.5899,0.4290,,,,,,,,,,,,,,
dimm,2026-07-07T09:41:04,2026-07-06T23:41:04,0.8300,,1.0000,1.0000,12.18,0.5822,0.4234,,,,,,,,,,,,,,
dimm,2026-07-07T09:42:53,2026-07-06T23:42:53,0.8400,,1.0000,1.0000,12.03,0.5796,0.4215,,,,,,,,,,,,,,
dimm,2026-07-07T09:44:51,2026-07-06T23:44:51,0.8700,,1.0000,1.0000,11.62,0.5718,0.4158,,,,,,,,,,,,,,
dimm,2026-07-07T09:46:41,2026-07-06T23:46:41,1.1976,,1.6633,2.3349,14.04,0.4832,0.3514,,,,,,,,,,,,,,
dimm,2026-07-07T09:48:31,2026-07-06T23:48:31,1.5312,,1.6644,2.3375,10.99,0.3931,0.2859,,,,,,,,,,,,,,
dimm,2026-07-07T09:50:26,2026-07-06T23:50:26,1.1993,,1.6657,2.3405,14.04,0.4827,0.3510,,,,,,,,,,,,,,
dimm,2026-07-07T09:52:18,2026-07-06T23:52:18,0.8700,,1.0000,1.0000,11.62,0.5718,0.4158,,,,,,,,,,,,,,
dimm,2026-07-07T09:54:13,2026-07-06T23:54:13,0.7800,,1.0000,1.0000,12.96,0.5950,0.4327,,,,,,,,,,,,,,
dimm,2026-07-07T09:56:05,2026-07-06T23:56:05,0.7900,,1.0000,1.0000,12.79,0.5924,0.4308,,,,,,,,,,,,,,
dimm,2026-07-07T09:57:59,2026-07-06T23:57:59,0.9900,,1.0000,1.0000,10.21,0.5398,0.3925,,,,,,,,,,,,,,
dimm,2026-07-07T09:59:53,2026-07-06T23:59:53,0.9300,,1.0000,1.0000,10.87,0.5559,0.4042,,,,,,,,,,,,,,
dimm,2026-07-07T10:01:20,2026-07-07T00:01:20,0.7200,,1.0000,1.0000,14.04,0.6100,0.4436,,,,,,,,,,,,,,
dimm,2026-07-07T10:02:42,2026-07-07T00:02:42,0.6500,,1.0000,1.0000,15.55,0.6269,0.4559,,,,,,,,,,,,,,
dimm,2026-07-07T10:04:04,2026-07-07T00:04:04,0.6900,,1.0000,1.0000,14.65,0.6173,0.4489,,,,,,,,,,,,,,
dimm,2026-07-07T10:05:31,2026-07-07T00:05:31,0.7400,,1.0000,1.0000,13.66,0.6050,0.4400,,,,,,,,,,,,,,
dimm,2026-07-07T10:10:25,2026-07-07T00:10:25,0.7600,,1.0000,1.0000,13.30,0.6000,0.4363,,,,,,,,,,,,,,
dimm,2026-07-07T10:11:52,2026-07-07T00:11:52,0.5400,,1.0000,1.0000,18.72,0.6519,0.4741,,,,,,,,,,,,,,
dimm,2026-07-07T10:13:20,2026-07-07T00:13:20,0.7000,,1.0000,1.0000,14.44,0.6149,0.4471,,,,,,,,,,,,,,
dimm,2026-07-07T10:14:47,2026-07-07T00:14:47,0.6200,,1.0000,1.0000,16.30,0.6339,0.4610,,,,,,,,,,,,,,
dimm,2026-07-07T10:16:15,2026-07-07T00:16:15,0.5300,,1.0000,1.0000,19.07,0.6541,0.4757,,,,,,,,,,,,,,
dimm,2026-07-07T10:17:43,2026-07-07T00:17:43,0.5900,,1.0000,1.0000,17.13,0.6408,0.4660,,,,,,,,,,,,,,
dimm,2026-07-07T10:19:12,2026-07-07T00:19:12,0.6400,,1.0000,1.0000,15.79,0.6293,0.4576,,,,,,,,,,,,,,
dimm,2026-07-07T10:20:41,2026-07-07T00:20:41,0.5600,,1.0000,1.0000,18.05,0.6475,0.4709,,,,,,,,,,,,,,
dimm,2026-07-07T10:22:10,2026-07-07T00:22:10,0.5900,,1.0000,1.0000,17.13,0.6408,0.4660,,,,,,,,,,,,,,
dimm,2026-07-07T10:23:40,2026-07-07T00:23:40,0.6200,,1.0000,1.0000,16.30,0.6339,0.4610,,,,,,,,,,,,,,
dimm,2026-07-07T10:26:51,2026-07-07T00:26:51,0.5900,,1.0000,1.0000,17.13,0.6408,0.4660,,,,,,,,,,,,,,
dimm,2026-07-07T10:28:24,2026-07-07T00:28:24,0.5600,,1.0000,1.0000,18.05,0.6475,0.4709,,,,,,,,,,,,,,
dimm,2026-07-07T10:30:00,2026-07-07T00:30:00,0.5500,,1.0000,1.0000,18.38,0.6497,0.4725,,,,,,,,,,,,,,
dimm,2026-07-07T10:31:34,2026-07-07T00:31:34,0.6800,,1.0000,1.0000,14.86,0.6197,0.4507,,,,,,,,,,,,,,
dimm,2026-07-07T10:33:19,2026-07-07T00:33:19,0.5800,,1.0000,1.0000,17.43,0.6431,0.4676,,,,,,,,,,,,,,
dimm,2026-07-07T10:34:54,2026-07-07T00:34:54,0.5700,,1.0000,1.0000,17.73,0.6453,0.4693,,,,,,,,,,,,,,
dimm,2026-07-07T10:36:29,2026-07-07T00:36:29,0.4900,,1.0000,1.0000,20.63,0.6625,0.4818,,,,,,,,,,,,,,
dimm,2026-07-07T10:38:04,2026-07-07T00:38:04,0.5100,,1.0000,1.0000,19.82,0.6584,0.4788,,,,,,,,,,,,,,
dimm,2026-07-07T10:39:42,2026-07-07T00:39:42,0.5200,,1.0000,1.0000,19.44,0.6562,0.4772,,,,,,,,,,,,,,
dimm,2026-07-07T10:41:21,2026-07-07T00:41:21,0.6100,,1.0000,1.0000,16.57,0.6362,0.4627,,,,,,,,,,,,,,
dimm,2026-07-07T10:42:56,2026-07-07T00:42:56,0.5400,,1.0000,1.0000,18.72,0.6519,0.4741,,,,,,,,,,,,,,
dimm,2026-07-07T10:44:32,2026-07-07T00:44:32,0.6000,,1.0000,1.0000,16.84,0.6385,0.4643,,,,,,,,,,,,,,
dimm,2026-07-07T10:46:10,2026-07-07T00:46:10,0.5400,,1.0000,1.0000,18.72,0.6519,0.4741,,,,,,,,,,,,,,
dimm,2026-07-07T10:47:46,2026-07-07T00:47:46,0.5300,,1.0000,1.0000,19.07,0.6541,0.4757,,,,,,,,,,,,,,
dimm,2026-07-07T10:49:28,2026-07-07T00:49:28,0.5700,,1.0000,1.0000,17.73,0.6453,0.4693,,,,,,,,,,,,,,
dimm,2026-07-07T10:51:06,2026-07-07T00:51:06,0.7800,,1.0000,1.0000,12.96,0.5950,0.4327,,,,,,,,,,,,,,
dimm,2026-07-07T10:52:53,2026-07-07T00:52:53,0.7600,,1.0000,1.0000,13.30,0.6000,0.4363,,,,,,,,,,,,,,
dimm,2026-07-07T10:54:33,2026-07-07T00:54:33,0.6500,,1.0000,1.0000,15.55,0.6269,0.4559,,,,,,,,,,,,,,
dimm,2026-07-07T10:56:12,2026-07-07T00:56:12,0.7400,,1.0000,1.0000,13.66,0.6050,0.4400,,,,,,,,,,,,,,
dimm,2026-07-07T10:57:51,2026-07-07T00:57:51,0.7400,,1.0000,1.0000,13.66,0.6050,0.4400,,,,,,,,,,,,,,
dimm,2026-07-07T10:59:30,2026-07-07T00:59:30,0.6300,,1.0000,1.0000,16.04,0.6316,0.4593,,,,,,,,,,,,,,
dimm,2026-07-07T11:01:11,2026-07-07T01:01:11,0.8000,,1.0000,1.0000,12.63,0.5899,0.4290,,,,,,,,,,,,,,
dimm,2026-07-07T11:02:51,2026-07-07T01:02:51,0.6900,,1.0000,1.0000,14.65,0.6173,0.4489,,,,,,,,,,,,,,
dimm,2026-07-07T11:04:33,2026-07-07T01:04:33,0.6700,,1.0000,1.0000,15.09,0.6221,0.4524,,,,,,,,,,,,,,
dimm,2026-07-07T11:06:15,2026-07-07T01:06:15,0.7600,,1.0000,1.0000,13.30,0.6000,0.4363,,,,,,,,,,,,,,
dimm,2026-07-07T11:07:55,2026-07-07T01:07:55,0.8200,,1.0000,1.0000,12.33,0.5848,0.4252,,,,,,,,,,,,,,
dimm,2026-07-07T11:09:35,2026-07-07T01:09:35,0.6400,,1.0000,1.0000,15.79,0.6293,0.4576,,,,,,,,,,,,,,
dimm,2026-07-07T11:11:21,2026-07-07T01:11:21,0.7900,,1.0000,1.0000,12.79,0.5924,0.4308,,,,,,,,,,,,,,
